date,temple_id,year,day_of_week,is_weekend,month,day_of_year,festival_flag,festival_weight,festival_tier,is_extraordinary,is_school_holiday,is_pournami,is_pradosham,cross_temple_effect,google_trends,parking_count,annadhanam_count,prasadam_volume,mobile_congestion,tnstc_bus_ratio,weather_score,temple_base,temple_fest_mult,highway_boost,ticket_count,undercount_ratio,true_footfall
2022-01-01,1,2022,5,1,1,1,0,0.0,1,0,0,0,0,0.0,41.93,6363,11140,17584,82.81,1.15,9.15,15000,4.2,1.15,21817,0.7626,28610
2022-01-01,2,2022,5,1,1,1,0,0.0,1,0,0,0,0,0.0,43.98,3463,4775,8325,86.63,1.15,8.32,8000,3.5,1.08,11231,0.7446,15083
2022-01-01,3,2022,5,1,1,1,0,0.0,1,0,0,0,0,0.0,35.93,3750,6931,11216,84.08,1.15,9.78,10000,3.8,1.2,12974,0.6952,18662
2022-01-01,4,2022,5,1,1,1,0,0.0,1,0,0,0,0,0.0,40.72,4993,8527,12332,90.05,1.15,9.11,12000,4.5,1.12,15030,0.6945,21642
2022-01-01,5,2022,5,1,1,1,0,0.0,1,0,0,0,0,0.0,35.07,3840,5317,10578,85.96,1.15,9.48,9000,3.9,1.1,11343,0.6557,17299
2022-01-02,1,2022,6,1,1,2,0,0.0,1,0,0,0,0,0.0,27.85,7045,12327,17681,91.97,1.15,8.29,15000,4.2,1.15,21346,0.6714,31795
2022-01-02,2,2022,6,1,1,2,0,0.0,1,0,0,0,0,0.0,42.48,3745,6616,8995,97.1,1.15,9.13,8000,3.5,1.08,12188,0.6996,17422
2022-01-02,3,2022,6,1,1,2,0,0.0,1,0,0,0,0,0.0,53.24,4562,5959,11319,85.61,1.15,8.15,10000,3.8,1.2,13696,0.7063,19392
2022-01-02,4,2022,6,1,1,2,0,0.0,1,0,0,0,0,0.0,41.08,5224,7144,12060,91.04,1.15,8.3,12000,4.5,1.12,15039,0.6523,23058
2022-01-02,5,2022,6,1,1,2,0,0.0,1,0,0,0,0,0.0,42.84,3837,5620,9815,86.03,1.15,9.68,9000,3.9,1.1,12699,0.7244,17531
2022-01-03,1,2022,0,0,1,3,0,0.0,1,0,0,0,0,0.0,38.71,3876,6821,8729,65.28,1.0,9.14,15000,4.2,1.15,11406,0.6986,16327
2022-01-03,2,2022,0,0,1,3,0,0.0,1,0,0,0,0,0.0,37.3,1638,2627,4933,68.03,1.0,9.13,8000,3.5,1.08,5850,0.7242,8079
2022-01-03,3,2022,0,0,1,3,0,0.0,1,0,0,0,0,0.0,30.68,2222,3880,5570,65.44,1.0,8.04,10000,3.8,1.2,6620,0.6556,10098
2022-01-03,4,2022,0,0,1,3,0,0.0,1,0,0,0,0,0.0,54.82,2618,4468,6480,62.04,1.0,8.0,12000,4.5,1.12,8452,0.7477,11304
2022-01-03,5,2022,0,0,1,3,0,0.0,1,0,0,0,0,0.0,43.74,2247,3351,5639,67.6,1.0,9.59,9000,3.9,1.1,7328,0.7172,10218
2022-01-04,1,2022,1,0,1,4,0,0.0,1,0,0,0,0,0.0,48.42,2993,4817,7920,63.36,1.0,7.93,15000,4.2,1.15,11011,0.7469,14743
2022-01-04,2,2022,1,0,1,4,0,0.0,1,0,0,0,0,0.0,44.57,1708,2537,4423,61.62,1.0,8.62,8000,3.5,1.08,5746,0.7373,7794
2022-01-04,3,2022,1,0,1,4,0,0.0,1,0,0,0,0,0.0,47.74,2524,3329,6179,60.1,1.0,9.09,10000,3.8,1.2,8223,0.7521,10933
2022-01-04,4,2022,1,0,1,4,0,0.0,1,0,0,0,0,0.0,37.99,2449,4209,6093,62.66,1.0,9.26,12000,4.5,1.12,7847,0.6605,11881
2022-01-04,5,2022,1,0,1,4,0,0.0,1,0,0,0,0,0.0,43.95,1934,2898,4521,62.29,1.0,8.97,9000,3.9,1.1,6233,0.7316,8520
2022-01-05,1,2022,2,0,1,5,0,0.0,1,0,0,0,0,0.0,43.3,3725,5584,8862,65.95,1.0,8.7,15000,4.2,1.15,11976,0.7681,15592
2022-01-05,2,2022,2,0,1,5,0,0.0,1,0,0,0,0,0.0,45.66,1492,2505,3913,58.82,1.0,7.35,8000,3.5,1.08,4889,0.6625,7381
